id,customer_state,customer_account_duration,customer_area_code,has_international_plan,has_voice_mail_plan,voice_mail_message_count,daytime_total_minutes,daytime_total_calls,daytime_total_charges,evening_total_minutes,evening_total_calls,evening_total_charges,nighttime_total_minutes,nighttime_total_calls,nighttime_total_charges,intl_total_minutes,intl_total_calls,intl_total_charges,customer_service_call_count,churn
62,ID,68.0,,false,False,0.0,191.5,108.0,29.84,198.3,107.0,15.21,189.9,103.0,7.95,11.0,5.0,,,0
63,ID,,,,,0.0,,83.0,,374.2,74.0,30.11,247.2,99.0,10.66,11.0,6.0,,,1
64,DE,44.0,,0,False,0.0,225.0,118.0,40.37,,122.0,12.12,191.3,96.0,9.0,12.1,5.0,3.27,,0
65,UNKNOWN,,area_415,No,True,30.0,344.2,104.0,,,109.0,23.45,175.7,89.0,8.59,11.0,1.0,2.97,,0
66,UNKNOWN,102.0,area_code_408,false,False,0.0,,,30.27,215.8,94.0,,181.0,,8.63,11.6,,3.13,10.0,0
67,WI,73.0,area_code_415,False,,0.0,219.4,90.0,36.36,191.3,78.0,,261.9,112.0,,5.9,8.0,1.59,0.0,0
68,NH,131.0,area_code_510,0,False,0.0,98.5,105.0,16.38,383.1,103.0,29.79,245.6,95.0,,11.7,2.0,,5.0,1
69,OH,110.0,area_code_415,0,,37.0,,80.0,38.73,102.5,,8.66,191.5,,,5.1,6.0,1.38,0.0,0
70,UNKNOWN,80.0,area_code_415,0,False,0.0,119.5,86.0,18.3,,,,242.5,145.0,10.16,,5.0,,,0
71,AZ,,area_code_415,0,True,10.0,189.8,,31.77,169.1,114.0,,167.4,,7.38,12.8,,3.46,,0
72,DE,127.0,,NO,False,0.0,,,43.25,137.2,96.0,12.66,173.6,94.0,8.08,4.5,,1.22,2.0,0
73,UNKNOWN,104.0,area_415,No,True,18.0,185.7,66.0,30.84,392.0,65.0,,190.5,108.0,8.66,13.4,9.0,3.62,2.0,0
74,NV,111.0,,NO,False,,,56.0,56.28,149.1,101.0,,191.9,116.0,9.21,12.4,1.0,3.35,1.0,1
75,WV,82.0,408,No,False,0.0,146.3,116.0,25.78,181.3,99.0,15.31,,,13.66,7.8,,2.11,,0
76,UNKNOWN,86.0,area_408,0,True,,214.2,107.0,41.15,234.5,105.0,22.48,251.0,81.0,11.87,9.8,2.0,2.65,,0
77,UNKNOWN,110.0,,No,True,,,102.0,39.17,,112.0,31.2,181.2,82.0,8.05,9.7,,,1.0,0
78,VT,,area_code_408,,False,,163.3,86.0,,168.1,,14.18,249.5,132.0,10.55,,7.0,3.81,6.0,1
79,MS,145.0,area_510,1,True,30.0,358.4,107.0,62.25,,116.0,23.71,236.7,,10.38,11.1,3.0,3.0,1.0,0
80,OR,102.0,,,True,,193.5,105.0,30.31,279.8,,22.01,213.5,,,11.7,2.0,3.16,,0
81,NY,150.0,,No,True,35.0,132.1,72.0,,338.9,170.0,28.76,214.8,105.0,,8.8,2.0,,2.0,0
82,UNKNOWN,55.0,area_code_415,False,False,0.0,184.0,121.0,31.26,169.2,110.0,14.22,541.3,136.0,,,,1.89,,0
83,UNKNOWN,78.0,area_code_415,NO,False,0.0,202.7,85.0,35.63,348.9,105.0,32.56,128.7,119.0,6.33,10.2,1.0,2.75,0.0,0
84,VT,101.0,area_code_510,NO,False,0.0,0.0,,,181.8,119.0,15.35,169.0,,,7.2,4.0,1.94,,0
85,VT,42.0,area_415,False,False,0.0,226.5,122.0,34.7,286.4,58.0,24.22,149.8,114.0,,14.0,4.0,3.78,,0
86,FL,115.0,,False,True,24.0,144.7,124.0,22.37,,129.0,14.43,164.3,114.0,6.87,9.6,,2.59,1.0,0
87,UNKNOWN,33.0,415,True,False,0.0,161.2,99.0,27.96,,102.0,13.05,125.5,104.0,5.59,6.4,4.0,1.73,0.0,0
88,UNKNOWN,,area_408,Yes,True,35.0,122.4,138.0,20.64,266.4,113.0,22.1,305.7,130.0,12.74,8.8,7.0,2.38,,0
89,VA,106.0,area_code_408,,False,0.0,165.0,,,285.3,,,449.7,,18.05,8.1,2.0,2.19,4.0,0
90,UNKNOWN,,415,FALSE,False,0.0,,85.0,,222.3,,17.12,230.7,,,11.5,3.0,,0.0,0
91,UNKNOWN,185.0,,,True,,152.6,121.0,26.1,247.2,88.0,21.13,151.5,,7.06,13.8,2.0,3.73,2.0,0
92,AK,97.0,area_code_415,NO,,,175.0,109.0,31.44,,81.0,14.23,265.5,94.0,12.72,12.1,9.0,3.27,0.0,0
93,UNKNOWN,104.0,area_code_415,,True,26.0,286.4,,47.79,180.0,97.0,15.4,202.7,104.0,9.12,11.1,4.0,3.0,,0
94,IL,127.0,,0,False,0.0,226.3,108.0,38.2,356.9,124.0,31.64,306.8,,14.29,11.7,3.0,3.16,2.0,0
95,SD,166.0,area_code_510,no,True,,154.7,,26.9,170.6,119.0,,203.4,124.0,,11.3,12.0,3.05,,0
96,UNKNOWN,107.0,area_408,False,,36.0,,83.0,15.23,183.7,91.0,14.2,169.6,,,10.3,2.0,,1.0,0
97,NM,,,False,False,0.0,127.2,103.0,21.68,,,22.96,176.7,,7.83,,4.0,3.65,0.0,0
98,IL,131.0,area_code_510,,False,0.0,,123.0,45.71,146.3,74.0,,215.3,,10.03,10.7,2.0,2.89,2.0,0
99,FL,,,No,False,0.0,,117.0,18.75,304.5,136.0,22.63,223.5,100.0,,12.2,4.0,3.29,0.0,0
100,IL,76.0,area_code_510,0,False,0.0,178.0,96.0,32.29,216.5,,18.36,231.7,,,8.0,4.0,2.16,0.0,0
101,UNKNOWN,118.0,415,,True,,168.0,114.0,28.69,190.3,125.0,16.76,,98.0,7.55,9.6,5.0,2.59,5.0,1
102,CT,150.0,area_code_510,NO,False,0.0,179.7,77.0,32.34,,105.0,18.87,,,10.79,9.2,5.0,2.48,4.0,0
103,UNKNOWN,142.0,510,NO,False,,193.8,98.0,31.42,,85.0,14.54,,136.0,20.82,,6.0,,1.0,0
104,SD,106.0,,no,True,27.0,,97.0,40.47,,131.0,,,,7.42,11.6,,3.13,,0
105,SC,104.0,area_code_415,No,False,0.0,112.5,141.0,16.79,194.7,140.0,14.39,212.3,100.0,8.83,10.0,4.0,2.7,3.0,0
106,WV,44.0,408,false,False,0.0,201.4,85.0,38.24,223.4,128.0,,136.7,74.0,6.54,12.5,,3.38,,0
107,AZ,88.0,area_code_415,No,False,0.0,180.1,,28.79,,90.0,16.11,87.9,107.0,,12.8,5.0,3.46,,0
108,UNKNOWN,74.0,510,false,False,0.0,231.3,,36.97,176.2,,,,,,,2.0,,,0
109,SC,98.0,415,NO,False,0.0,149.1,101.0,22.62,210.2,89.0,15.58,253.7,97.0,,9.2,3.0,2.48,1.0,0
110,NV,95.0,area_415,False,True,35.0,455.1,86.0,86.95,,132.0,23.85,198.4,72.0,9.53,13.1,4.0,,,0
111,UNKNOWN,,area_code_415,0,False,0.0,,,34.82,153.1,110.0,11.34,167.5,129.0,7.06,5.6,8.0,,1.0,0
112,GA,90.0,,False,False,0.0,70.9,124.0,12.72,375.6,106.0,34.8,286.0,,13.79,9.8,5.0,2.65,1.0,0
113,UNKNOWN,,,0,True,37.0,,92.0,50.7,,103.0,26.25,165.3,,6.76,13.3,3.0,3.59,1.0,0
114,VA,102.0,,False,False,0.0,181.0,79.0,,387.0,136.0,,264.8,,10.98,8.5,5.0,2.3,0.0,0
115,KY,98.0,,0,True,36.0,161.3,81.0,31.31,171.9,125.0,15.21,171.7,120.0,8.52,8.0,2.0,,8.0,1
116,UNKNOWN,72.0,area_code_415,No,False,0.0,168.4,102.0,,268.3,103.0,21.92,258.6,85.0,,13.3,5.0,3.59,,0
117,NY,,415,0,False,0.0,,94.0,,221.9,121.0,18.85,315.2,109.0,14.33,7.8,5.0,,,0
118,WA,136.0,415,No,True,24.0,244.8,107.0,39.18,225.8,111.0,,140.9,117.0,,11.0,4.0,2.97,4.0,0
119,IN,,408,NO,True,21.0,63.5,,10.0,181.3,86.0,13.63,,,10.03,0.0,0.0,0.0,,0
120,CO,86.0,area_code_415,False,False,0.0,207.2,93.0,39.4,496.7,95.0,44.69,231.7,70.0,10.95,11.3,7.0,3.05,,0
121,UNKNOWN,36.0,408,No,True,30.0,149.9,128.0,26.12,153.6,80.0,14.5,129.5,,,,6.0,3.92,0.0,0
122,NE,95.0,area_code_510,,False,0.0,,81.0,14.63,141.0,109.0,12.13,234.1,,,9.8,2.0,2.65,2.0,0
123,MS,189.0,area_code_415,NO,False,0.0,,,38.27,,112.0,14.24,,91.0,8.94,5.6,4.0,1.51,,0
124,DE,145.0,area_code_415,FALSE,,,183.8,113.0,33.87,193.0,92.0,18.22,217.3,103.0,,,3.0,,,0
125,SC,99.0,area_code_510,1,True,39.0,,94.0,19.52,,115.0,,175.4,91.0,7.09,8.4,4.0,2.27,0.0,0
126,MD,166.0,area_code_415,,,0.0,,116.0,21.95,180.1,93.0,14.63,132.7,,,11.3,4.0,3.05,0.0,0
127,NV,113.0,area_code_415,,True,23.0,197.8,101.0,37.88,,,,157.5,59.0,,10.2,5.0,2.75,2.0,0
128,DC,53.0,area_415,FALSE,True,,,,13.3,356.1,119.0,30.85,248.8,126.0,11.39,6.0,2.0,,2.0,0
129,KS,126.0,area_code_408,,False,,322.3,99.0,58.62,381.9,93.0,35.42,190.1,106.0,9.35,8.0,4.0,2.16,1.0,1
130,IN,,,0,False,0.0,,,32.15,206.2,117.0,16.84,125.1,111.0,,8.0,5.0,2.16,1.0,0
131,UNKNOWN,225.0,area_code_415,No,False,0.0,161.2,106.0,29.96,264.3,109.0,24.78,206.8,93.0,,8.7,3.0,2.35,,1
132,OK,,area_code_415,,,0.0,,59.0,,270.2,101.0,23.04,282.9,,12.29,5.8,,,,0
133,NV,110.0,area_510,false,False,0.0,,94.0,23.93,,96.0,8.55,151.9,110.0,7.54,9.9,,2.67,3.0,0
134,TX,104.0,area_415,no,False,,,141.0,71.18,274.2,127.0,21.89,135.6,104.0,6.06,7.2,4.0,,,1
135,UNKNOWN,158.0,,no,False,0.0,116.8,123.0,18.55,,122.0,20.3,,111.0,9.01,12.4,5.0,3.35,,0
136,OR,91.0,area_code_408,,False,,,105.0,38.93,,,15.59,256.9,69.0,10.84,7.6,3.0,,8.0,0
137,WI,,area_code_510,No,,0.0,578.8,110.0,93.88,,114.0,23.29,117.6,125.0,,11.0,2.0,2.97,1.0,0
138,NM,161.0,408,False,False,0.0,,,17.66,,46.0,21.05,250.8,131.0,10.74,12.6,3.0,3.4,,0
139,IA,105.0,area_code_408,,True,,172.4,103.0,29.85,,102.0,9.83,263.6,,11.98,10.8,4.0,2.92,,0
140,TN,25.0,area_code_415,No,False,0.0,110.6,114.0,19.04,378.8,97.0,32.3,240.8,,10.5,,4.0,,,0
141,UNKNOWN,132.0,area_408,0,False,0.0,,100.0,33.7,154.7,95.0,12.85,225.1,117.0,10.26,,,,0.0,0
142,OH,94.0,area_code_415,false,False,0.0,361.1,135.0,61.99,175.4,108.0,15.5,179.6,103.0,8.13,6.7,2.0,1.81,0.0,0
143,IL,,415,FALSE,False,0.0,158.8,113.0,28.21,258.6,,22.58,211.6,93.0,,10.9,2.0,2.94,0.0,0
144,VT,,area_code_415,NO,False,,138.4,92.0,21.76,449.9,110.0,36.65,197.1,,8.33,13.3,,,,0
145,UNKNOWN,77.0,,False,False,,246.5,114.0,44.19,145.7,115.0,13.86,161.0,,7.87,10.3,2.0,2.78,5.0,0
146,ND,81.0,415,,,0.0,,105.0,36.62,,88.0,18.57,239.2,85.0,,11.4,4.0,3.08,4.0,0
147,MS,173.0,,,False,0.0,79.1,75.0,13.79,,95.0,,206.9,,9.19,9.6,2.0,,1.0,0
148,IL,70.0,area_408,,False,0.0,214.7,97.0,36.21,264.7,83.0,23.9,,122.0,8.38,8.0,,2.16,2.0,0
149,UNKNOWN,56.0,area_code_415,No,True,29.0,35.8,115.0,6.07,,111.0,11.6,223.9,101.0,9.66,,,1.32,1.0,0
150,SC,116.0,,,False,,281.9,120.0,44.32,,,,231.8,99.0,,13.4,4.0,3.62,0.0,1
151,MS,59.0,area_code_408,0,True,27.0,302.7,110.0,,106.4,99.0,8.68,162.9,73.0,7.3,9.1,3.0,2.46,0.0,0
152,AK,,area_code_415,No,False,0.0,160.3,,29.0,285.9,104.0,25.46,119.5,125.0,5.55,5.8,5.0,1.57,3.0,0
153,SD,,area_code_415,0,False,0.0,,65.0,55.67,,97.0,12.56,373.9,,18.31,10.2,,2.75,2.0,1
154,AL,,area_code_415,0,False,0.0,137.0,92.0,22.69,182.8,103.0,15.54,144.3,74.0,6.54,14.7,5.0,3.97,3.0,0
155,KY,77.0,area_code_415,0,True,32.0,192.8,101.0,35.82,175.7,84.0,15.41,230.9,129.0,11.36,8.0,6.0,2.16,1.0,0
156,NM,81.0,area_code_415,,False,,173.2,80.0,28.44,400.2,94.0,,238.8,84.0,,11.8,6.0,3.19,2.0,0
157,KY,109.0,415,0,False,0.0,171.0,80.0,32.72,372.0,,36.18,196.5,,9.79,,6.0,2.75,1.0,0
158,CO,108.0,415,,False,0.0,,78.0,,204.2,,17.66,194.2,65.0,,3.6,,,1.0,0
159,MS,122.0,area_code_408,False,True,,,85.0,24.83,,93.0,12.38,202.9,110.0,,14.0,5.0,3.78,1.0,0
160,NJ,117.0,area_code_415,,False,0.0,136.0,92.0,20.33,,61.0,,363.5,117.0,14.88,12.4,9.0,,,0
161,NJ,80.0,area_code_415,False,False,0.0,,120.0,42.49,,147.0,23.8,,140.0,,5.8,,,2.0,1
162,NE,74.0,area_code_415,no,True,,202.1,84.0,32.35,123.4,103.0,9.97,357.0,,,13.1,2.0,,2.0,0
163,OH,119.0,415,0,True,,209.7,128.0,37.41,499.0,133.0,41.99,144.0,80.0,,11.1,,3.0,0.0,0
164,WA,71.0,408,,False,0.0,,132.0,22.74,155.5,90.0,12.0,,72.0,7.3,7.0,,,2.0,0
165,OR,99.0,area_code_408,,False,0.0,250.5,44.0,,,105.0,,228.7,75.0,10.0,7.9,1.0,2.13,3.0,1
166,UNKNOWN,43.0,,0,True,26.0,,94.0,73.85,,,17.61,173.9,100.0,8.19,12.9,1.0,3.48,3.0,0
167,DE,148.0,area_code_415,No,False,,,83.0,,180.9,81.0,16.07,,,11.99,,6.0,,,0
168,AL,200.0,408,No,False,0.0,,87.0,21.53,307.9,105.0,,178.0,123.0,7.89,11.2,2.0,3.02,1.0,0
169,WY,,area_code_415,0,False,,181.5,132.0,30.94,219.7,100.0,20.68,226.0,,10.84,11.0,,2.97,,0
170,WV,23.0,area_code_510,,True,31.0,,84.0,28.09,169.0,96.0,,294.2,107.0,13.99,,6.0,2.54,4.0,0
171,SC,77.0,,,True,,499.4,117.0,72.43,,,18.81,204.0,,8.46,11.5,3.0,3.11,,1
172,WI,143.0,area_code_510,0,False,0.0,195.8,,32.99,130.4,133.0,10.5,225.3,99.0,10.32,,2.0,2.75,2.0,0
173,UNKNOWN,132.0,area_code_408,0,False,0.0,199.3,100.0,37.46,214.9,118.0,19.18,195.5,122.0,9.44,10.2,6.0,2.75,1.0,0
174,WA,136.0,area_code_415,No,True,16.0,92.8,105.0,,190.6,109.0,,225.3,115.0,,13.1,4.0,3.54,2.0,0
175,NJ,197.0,510,0,False,0.0,149.3,111.0,24.48,179.0,,13.56,227.8,86.0,9.52,10.6,2.0,,3.0,0
176,MN,133.0,area_code_415,False,False,0.0,125.1,85.0,20.14,190.5,,15.73,273.8,103.0,11.39,11.1,3.0,3.0,,0
177,IN,131.0,area_code_415,No,True,,44.3,114.0,6.52,180.2,70.0,14.19,159.8,,6.5,,,2.7,,0
178,MN,59.0,area_code_408,No,True,,223.4,120.0,33.1,209.3,136.0,15.85,214.8,95.0,8.83,8.8,5.0,2.38,1.0,0
179,NC,38.0,408,0,False,0.0,132.4,98.0,22.21,164.8,97.0,13.79,,106.0,7.12,8.2,6.0,2.21,2.0,0
180,MS,105.0,area_code_415,False,False,,,48.0,17.03,390.2,119.0,33.59,465.6,53.0,20.75,12.2,2.0,3.29,1.0,0
181,ND,51.0,,0,False,,,,14.91,,,26.68,238.2,110.0,9.88,13.6,4.0,3.67,1.0,0
182,PA,122.0,area_code_415,0,False,0.0,33.2,62.0,6.08,339.0,89.0,29.54,256.0,58.0,11.53,,2.0,,,0
183,UNKNOWN,68.0,area_415,No,,0.0,250.9,59.0,40.83,,126.0,16.35,112.3,117.0,4.89,6.5,3.0,,2.0,0
184,FL,119.0,415,No,False,0.0,367.4,96.0,,,80.0,12.04,238.0,,10.0,9.8,5.0,,2.0,0
185,UNKNOWN,120.0,,,False,,,,44.44,471.3,86.0,35.18,168.2,70.0,7.07,10.2,,2.75,4.0,0
186,MN,179.0,,0,False,0.0,168.7,54.0,,185.7,108.0,14.92,216.7,,8.88,13.3,4.0,3.59,,0
187,OH,80.0,area_code_415,no,False,0.0,483.9,,83.99,155.4,86.0,,96.0,98.0,4.23,,,1.73,1.0,0
188,VA,139.0,area_code_415,YES,,0.0,168.8,121.0,24.79,191.8,,14.8,168.7,96.0,,11.2,,3.02,0.0,0
189,MA,73.0,408,0,False,0.0,,136.0,14.82,,122.0,22.08,201.1,77.0,,9.8,4.0,2.65,0.0,0
190,DE,78.0,area_code_408,0,False,0.0,,140.0,24.9,356.4,113.0,33.68,,125.0,13.57,11.8,3.0,3.19,,0
191,MS,120.0,,No,False,,,80.0,18.91,119.9,86.0,10.44,239.5,,,8.1,3.0,2.19,,1
192,NV,104.0,area_415,0,,0.0,458.0,90.0,82.6,,101.0,,299.2,86.0,,,5.0,,3.0,1
193,OR,89.0,area_code_415,No,False,,109.7,101.0,17.97,125.3,94.0,9.87,182.2,85.0,,12.6,2.0,3.4,3.0,0
194,NV,124.0,area_code_408,No,False,0.0,283.9,123.0,54.34,,104.0,,250.2,93.0,12.49,5.3,3.0,1.43,1.0,0
195,ND,122.0,area_408,FALSE,False,0.0,243.4,,36.16,,136.0,,453.2,100.0,,8.8,5.0,,5.0,1
196,CO,23.0,area_code_408,,False,0.0,184.1,89.0,34.4,163.9,108.0,15.05,219.2,73.0,10.52,15.0,4.0,4.05,11.0,0
197,LA,44.0,area_510,,False,,194.6,122.0,31.55,,72.0,14.88,,93.0,10.77,9.8,5.0,2.65,0.0,0
198,MN,93.0,area_code_415,0,False,,,,26.87,210.1,76.0,,172.1,,7.02,10.3,3.0,2.78,,0
199,AL,,area_code_415,yes,False,0.0,430.7,120.0,74.09,,,,162.2,110.0,,10.2,2.0,,,1
200,NM,137.0,area_code_408,,False,0.0,455.3,110.0,76.32,233.9,73.0,18.97,,78.0,5.22,,,,1.0,1
201,CT,37.0,area_code_408,0,False,,134.2,98.0,23.04,,130.0,,238.9,113.0,10.68,,2.0,3.97,3.0,0
202,MD,45.0,,,False,0.0,74.8,127.0,12.61,247.7,108.0,20.44,482.1,100.0,20.87,18.0,3.0,4.86,,0
203,MN,152.0,,0,False,0.0,,60.0,49.65,291.8,100.0,22.98,124.7,63.0,,10.4,7.0,2.81,1.0,1
204,UNKNOWN,87.0,area_408,0,False,0.0,226.3,124.0,39.83,225.4,,18.69,174.9,,7.71,11.0,,2.97,5.0,0
205,OH,,area_415,NO,True,25.0,,95.0,58.99,,136.0,21.31,249.1,86.0,11.22,17.6,5.0,4.75,,0
206,NC,93.0,area_510,0,False,0.0,215.6,92.0,36.77,,83.0,17.31,158.5,101.0,7.08,11.4,10.0,3.08,1.0,0
207,UNKNOWN,93.0,area_code_415,,,0.0,130.2,91.0,22.48,213.6,92.0,,205.4,121.0,9.28,,3.0,1.84,,0
