NamaPemain,PosisiPemain,HargaPasar
Levi Colwill,Centre-Back,€50.00m  
Ivan Toney,Centre-Forward,€50.00m  
Conor Gallagher,Central Midfield,€50.00m  
Cody Gakpo,Left Winger,€50.00m  
Jarrod Bowen,Right Winger,€50.00m  
Evan Ferguson,Centre-Forward,€50.00m  
Diogo Jota,Left Winger,€50.00m  
Kevin De Bruyne,Attacking Midfield,€50.00m  
Mohammed Kudus,Attacking Midfield,€50.00m  
Kobbie Mainoo,Central Midfield,€50.00m  
Amadou Onana,Defensive Midfield,€50.00m  
Matheus Nunes,Central Midfield,€50.00m  
Brennan Johnson,Right Winger,€48.00m  
Manuel Akanji,Centre-Back,€45.00m  
Matheus Cunha,Centre-Forward,€45.00m  
Pedro Porro,Right-Back,€45.00m  
Kaoru Mitoma,Left Winger,€45.00m  
Alejandro Garnacho,Left Winger,€45.00m  
Pape Matar Sarr,Central Midfield,€45.00m  
Sven Botman,Centre-Back,€45.00m  
Heung-min Son,Left Winger,€45.00m  
Ibrahima Konaté,Centre-Back,€45.00m  
Pau Torres,Centre-Back,€45.00m  
Destiny Udogie,Left-Back,€45.00m  
Lisandro Martínez,Centre-Back,€45.00m  
João Pedro,Centre-Forward,€45.00m  
Jarrad Branthwaite,Centre-Back,€42.00m  
Leon Bailey,Left Winger,€42.00m  
Reece James,Right-Back,€40.00m  
Joelinton,Central Midfield,€40.00m  
Dominic Solanke,Centre-Forward,€40.00m  
Axel Disasi,Centre-Back,€40.00m  
Nathan Aké,Centre-Back,€40.00m  
Morgan Gibbs-White,Attacking Midfield,€40.00m  
Reece James,Right-Back,€40.00m  
Marc Guéhi,Centre-Back,€38.00m  
Sandro Tonali,Defensive Midfield,€38.00m  
Rico Lewis,Right-Back,€38.00m  
Oleksandr Zinchenko,Left-Back,€38.00m  
Jurrien Timber,Centre-Back,€38.00m  
John Stones,Centre-Back,€38.00m  
Boubacar Kamara,Defensive Midfield,€38.00m  
Richarlison,Centre-Forward,€38.00m  
Malo Gusto,Right-Back,€35.00m  
Nicolas Jackson,Centre-Forward,€35.00m  
Harvey Elliott,Attacking Midfield,€35.00m  
Yves Bissouma,Defensive Midfield,€35.00m  
Joachim Andersen,Centre-Back,€35.00m  
Harvey Barnes,Left Winger,€35.00m  
Tino Livramento,Right-Back,€35.00m  
Nayef Aguerd,Centre-Back,€35.00m  
Edson Álvarez,Defensive Midfield,€35.00m  
Mykhaylo Mudryk,Left Winger,€35.00m  
Ederson,Goalkeeper,€35.00m  
Jacob Ramsey,Attacking Midfield,€35.00m  
Murillo,Centre-Back,€35.00m  
David Raya,Goalkeeper,€35.00m  
Cheick Doucouré,Defensive Midfield,€35.00m  
Raheem Sterling,Left Winger,€35.00m  
Diogo Dalot,Right-Back,€35.00m  
Roméo Lavia,Defensive Midfield,€35.00m  
Curtis Jones,Central Midfield,€35.00m  
Ryan Gravenberch,Central Midfield,€35.00m  
Leandro Trossard,Left Winger,€35.00m  
Rayan Aït-Nouri,Left-Back,€35.00m  
João Gomes,Central Midfield,€35.00m  
Takehiro Tomiyasu,Right-Back,€35.00m  
André Onana,Goalkeeper,€35.00m  
Mason Mount,Attacking Midfield,€35.00m  
Guglielmo Vicario,Goalkeeper,€35.00m  
Rodrigo Bentancur,Central Midfield,€35.00m  
Ezri Konsa,Centre-Back,€35.00m  
Ilya Zabarnyi,Centre-Back,€32.00m  
Luke Shaw,Left-Back,€32.00m  
Scott McTominay,Defensive Midfield,€32.00m  
Max Kilman,Centre-Back,€32.00m  
Adam Wharton,Central Midfield,€30.00m  
Tomas Soucek,Defensive Midfield,€30.00m  
Ibrahim Sangaré,Defensive Midfield,€30.00m  
Andrew Robertson,Left-Back,€30.00m  
Eddie Nketiah,Centre-Forward,€30.00m  
Adam Wharton,Central Midfield,€30.00m  
Tomas Soucek,Defensive Midfield,€30.00m  
Ibrahim Sangaré,Defensive Midfield,€30.00m  
Benoît Badiashile,Centre-Back,€30.00m  
Virgil van Dijk,Centre-Back,€30.00m  
Mateo Kovacic,Central Midfield,€30.00m  
Simon Adingra,Right Winger,€30.00m  
James Ward-Prowse,Central Midfield,€30.00m  
Pervis Estupiñán,Left-Back,€30.00m  
Alisson,Goalkeeper,€28.00m  
Mathias Jensen,Central Midfield,€28.00m  
Yoane Wissa,Left Winger,€28.00m  
Joe Gomez,Centre-Back,€28.00m  
Matty Cash,Right-Back,€28.00m  
Danilo,Central Midfield,€28.00m  
Aaron Hickey,Right-Back,€28.00m  
Ben Chilwell,Left-Back,€28.00m  
Noni Madueke,Right Winger,€28.00m  
Vitaliy Mykolenko,Left-Back,€28.00m  
Emiliano Martínez,Goalkeeper,€28.00m  
Taiwo Awoniyi,Centre-Forward,€28.00m  
Sean Longstaff,Central Midfield,€25.00m  
Antonee Robinson,Left-Back,€25.00m  
Marc Cucurella,Left-Back,€25.00m  
Wesley Fofana,Centre-Back,€25.00m  
Hee-chan Hwang,Centre-Forward,€25.00m  
Nathan Collins,Centre-Back,€25.00m  
Tyrick Mitchell,Left-Back,€25.00m  
Lesley Ugochukwu,Defensive Midfield,€25.00m  
Oscar Bobb,Right Winger,€25.00m  
Kalvin Phillips,Defensive Midfield,€25.00m  
Ansu Fati,Left Winger,€25.00m  
Youri Tielemans,Central Midfield,€25.00m  
Radu Drăgușin,Centre-Back,€25.00m  
Aaron Ramsdale,Goalkeeper,€25.00m  
Kurt Zouma,Centre-Back,€25.00m  
Antony,Right Winger,€25.00m  
Alex Iwobi,Attacking Midfield,€25.00m  
Julio Enciso,Attacking Midfield,€22.00m  
Konstantinos Tsimikas,Left-Back,€22.00m  
Emiliano Buendía,Right Winger,€22.00m  
Jarell Quansah,Centre-Back,€22.00m  
Philip Billing,Central Midfield,€22.00m  
Marcos Senesi,Centre-Back,€22.00m  
Dominic Calvert-Lewin,Centre-Forward,€22.00m  
James Garner,Defensive Midfield,€22.00m  
Kevin Schade,Right Winger,€22.00m  
Emile Smith Rowe,Attacking Midfield,€22.00m  
Fábio Vieira,Attacking Midfield,€22.00m  
Lewis Miley,Central Midfield,€22.00m  
Sofyan Amrabat,Defensive Midfield,€22.00m  
Carlos Baleba,Defensive Midfield,€22.00m  
Vitaly Janelt,Defensive Midfield,€22.00m  
Armando Broja,Centre-Forward,€22.00m  
Jordan Pickford,Goalkeeper,€22.00m  
Dwight McNeil,Left Winger,€22.00m  
Anthony Elanga,Left Winger,€22.00m  
Taylor Harwood-Bellis,Centre-Back,€22.00m  
Issa Diop,Centre-Back,€20.00m  
Adam Webster,Centre-Back,€20.00m  
Robert Sánchez,Goalkeeper,€20.00m  
Aaron Wan-Bissaka,Right-Back,€20.00m  
Caoimhín Kelleher,Goalkeeper,€20.00m  
Beto,Centre-Forward,€20.00m  
Nicolò Zaniolo,Attacking Midfield,€20.00m  
Jhon Durán,Centre-Forward,€20.00m  
Casemiro,Defensive Midfield,€20.00m  
Rodrigo Muniz,Centre-Forward,€20.00m  
Rico Henry,Left-Back,€20.00m  
Sander Berge,Defensive Midfield,€20.00m  
Jefferson Lerma,Defensive Midfield,€20.00m  
Miguel Almirón,Right Winger,€20.00m  
Marcus Tavernier,Left Midfield,€20.00m  
Djordje Petrovic,Goalkeeper,€20.00m  
Milos Kerkez,Left-Back,€20.00m  
Dango Ouattara,Left Winger,€20.00m  
Andreas Pereira,Attacking Midfield,€20.00m  
Toti,Centre-Back,€20.00m  
Jean-Philippe Mateta,Centre-Forward,€20.00m  
Tosin Adarabioyo,Centre-Back,€20.00m  
Raphaël Varane,Centre-Back,€20.00m  
Konstantinos Mavropanos,Centre-Back,€20.00m  
Alex Scott,Central Midfield,€20.00m  
Lloyd Kelly,Centre-Back,€18.00m  
Christian Nørgaard,Defensive Midfield,€18.00m  
Thomas Partey,Defensive Midfield,€18.00m  
Harry Maguire,Centre-Back,€18.00m  
Billy Gilmour,Defensive Midfield,€18.00m  
Bart Verbruggen,Goalkeeper,€18.00m  
Amad Diallo,Right Winger,€18.00m  
James Trafford,Goalkeeper,€18.00m  
Lewis Hall,Left-Back,€18.00m  
Solly March,Right Winger,€18.00m  
Pierre-Emile Højbjerg,Defensive Midfield,€18.00m  
Jan Paul van Hecke,Centre-Back,€18.00m  
Facundo Buonanotte,Attacking Midfield,€18.00m  
Callum Hudson-Odoi,Left Winger,€18.00m  
Giovanni Reyna,Attacking Midfield,€18.00m  
Odsonne Edouard,Centre-Forward,€18.00m  
Anel Ahmedhodzic,Centre-Back,€18.00m  
Tyrell Malacia,Left-Back,€18.00m  
Thomas Partey,Defensive Midfield,€18.00m  
Lloyd Kelly,Centre-Back,€18.00m  
Christian Nørgaard,Defensive Midfield,€18.00m  
Luis Sinisterra,Left Winger,€17.00m  
Nicolás Domínguez,Central Midfield,€17.00m  
Neco Williams,Right-Back,€17.00m  
Igor,Centre-Back,€17.00m  
Timo Werner,Centre-Forward,€17.00m  
Timothy Castagne,Right-Back,€17.00m  
Harry Wilson,Right Winger,€17.00m  
Calvin Bassey,Centre-Back,€16.00m  
Jack Hinshelwood,Defensive Midfield,€16.00m  
Max Aarons,Right-Back,€16.00m  
Diego Carlos,Centre-Back,€16.00m  
Giovani Lo Celso,Attacking Midfield,€16.00m  
Nick Pope,Goalkeeper,€16.00m  
Moussa Niakhaté,Centre-Back,€16.00m  
Jacob Murphy,Right Winger,€15.00m  
Aaron Ramsey,Attacking Midfield,€15.00m  
Albert Sambi Lokonga,Central Midfield,€15.00m  
Tyler Adams,Defensive Midfield,€15.00m  
Kristoffer Ajer,Centre-Back,€15.00m  
Morgan Rogers,Left Winger,€15.00m  
Josh Brownhill,Central Midfield,€15.00m  
Nuno Tavares,Left-Back,€15.00m  
Matheus França,Attacking Midfield,€15.00m  
Gustavo Hamer,Central Midfield,€15.00m  
Elliot Anderson,Central Midfield,€15.00m  
Romain Faivre,Right Midfield,€15.00m  
Carney Chukwuemeka,Central Midfield,€15.00m  
Nathan Patterson,Right-Back,€15.00m  
Harrison Reed,Central Midfield,€15.00m  
Reiss Nelson,Right Winger,€15.00m  
Tyler Adams,Defensive Midfield,€15.00m  
Kristoffer Ajer,Centre-Back,€15.00m  
Jean-Ricner Bellegarde,Central Midfield,€15.00m  
Jacob Murphy,Right Winger,€15.00m  
Aaron Ramsey,Attacking Midfield,€15.00m  
Albert Sambi Lokonga,Central Midfield,€15.00m  
Justin Kluivert,Left Winger,€14.00m  
Bryan Gil,Left Winger,€14.00m  
José Sá,Goalkeeper,€14.00m  
Fábio Carvalho,Attacking Midfield,€14.00m  
Valentín Barco,Left-Back,€13.00m  
Cameron Archer,Centre-Forward,€13.00m  
Trevoh Chalobah,Centre-Back,€13.00m  
James Tarkowski,Centre-Back,€13.00m  
Cameron Archer,Centre-Forward,€13.00m  
Trevoh Chalobah,Centre-Back,€13.00m  
James Tarkowski,Centre-Back,€13.00m  
Tyrone Mings,Centre-Back,€13.00m  
Manor Solomon,Left Winger,€13.00m  
Jordan Beyer,Centre-Back,€13.00m  
Lyle Foster,Centre-Forward,€13.00m  
Álex Moreno,Left-Back,€13.00m  
Callum Wilson,Centre-Forward,€13.00m  
Bernd Leno,Goalkeeper,€13.00m  
Carlton Morris,Centre-Forward,€13.00m  
Teden Mengi,Centre-Back,€12.00m  
Ola Aina,Right-Back,€12.00m  
James McAtee,Central Midfield,€12.00m  
Ameen Al-Dakhil,Centre-Back,€12.00m  
Chris Richards,Centre-Back,€12.00m  
Elijah Adebayo,Centre-Forward,€12.00m  
Lucas Digne,Left-Back,€12.00m  
Tariq Lamptey,Right-Back,€12.00m  
David Datro Fofana,Centre-Forward,€12.00m  
Jorginho,Defensive Midfield,€12.00m  
Dean Henderson,Goalkeeper,€12.00m  
Lewis Cook,Central Midfield,€12.00m  
Sergio Reguilón,Left-Back,€12.00m  
Neal Maupay,Centre-Forward,€12.00m  
Lucas Digne,Left-Back,€12.00m  
Tariq Lamptey,Right-Back,€12.00m  
David Datro Fofana,Centre-Forward,€12.00m  
Jorginho,Defensive Midfield,€12.00m  
Dean Henderson,Goalkeeper,€12.00m  
Lewis Cook,Central Midfield,€12.00m  
Sergio Reguilón,Left-Back,€12.00m  
Neal Maupay,Centre-Forward,€12.00m  
Mike Trésor,Left Winger,€12.00m  
Zeki Amdouni,Centre-Forward,€12.00m  
Andrew Omobamidele,Centre-Back,€11.00m  
Stefan Bajcetic,Defensive Midfield,€11.00m  
Wilson Odobert,Left Winger,€10.00m  
Jakub Moder,Central Midfield,€10.00m  
Clément Lenglet,Centre-Back,€10.00m  
Pablo Sarabia,Right Winger,€10.00m  
Ryan Sessegnon,Left Midfield,€10.00m  
Sam Johnstone,Goalkeeper,€10.00m  
Mads Roerslev,Right-Back,€10.00m  
Yegor Yarmolyuk,Attacking Midfield,€10.00m  
Joël Veltman,Right-Back,€10.00m  
Ben Godfrey,Centre-Back,€10.00m  
Ben Davies,Left-Back,€10.00m  
Mario Lemina,Defensive Midfield,€10.00m  
Kieran Trippier,Right-Back,€10.00m  
Alphonse Areola,Goalkeeper,€10.00m  
Thiago,Central Midfield,€10.00m  
Abdoulaye Doucouré,Central Midfield,€10.00m  
Alfie Doughty,Left Midfield,€10.00m  
Altay Bayındır,Goalkeeper,€10.00m  
Antoine Semenyo,Right Winger,€10.00m  
Gonzalo Montiel,Right-Back,€10.00m  
Josh Cullen,Central Midfield,€10.00m  
Josh Dasilva,Central Midfield,€10.00m  
Mikkel Damsgaard,Left Winger,€10.00m  
Saša Lukić,Central Midfield,€10.00m  
Anthony Martial,Centre-Forward,€10.00m  
Jakub Moder,Central Midfield,€10.00m  
Clément Lenglet,Centre-Back,€10.00m  
Pablo Sarabia,Right Winger,€10.00m  
Ryan Sessegnon,Left Midfield,€10.00m  
Sam Johnstone,Goalkeeper,€10.00m  
Mads Roerslev,Right-Back,€10.00m  
Yegor Yarmolyuk,Attacking Midfield,€10.00m  
Wilson Odobert,Left Winger,€10.00m  
Deivid Washington,Centre-Forward,€9.00m  
Will Hughes,Central Midfield,€9.00m  
Stefan Ortega,Goalkeeper,€9.00m  
Frank Onyeka,Central Midfield,€9.00m  
Chermiti,Centre-Forward,€9.00m  
Adama Traoré,Right Winger,€9.00m  
Maxwel Cornet,Left Winger,€9.00m  
Flynn Downes,Defensive Midfield,€9.00m  
Anass Zaroury,Left Winger,€9.00m  
Chiedozie Ogbene,Right Winger,€8.00m  
Santiago Bueno,Centre-Back,€8.00m  
Christian Eriksen,Central Midfield,€8.00m  
Ben Brereton Díaz,Left Winger,€8.00m  
Joel Matip,Centre-Back,€8.00m  
Jacob Bruun Larsen,Left Winger,€8.00m  
Ross Barkley,Central Midfield,€8.00m  
Danny Ings,Centre-Forward,€8.00m  
Vladimír Coufal,Right-Back,€8.00m  
Ben Johnson,Right-Back,€8.00m  
Dan Burn,Left-Back,€8.00m  
Naouirou Ahamada,Central Midfield,€8.00m  
Pascal Groß,Central Midfield,€8.00m  
David Brooks,Right Winger,€8.00m  
Joe Rodon,Centre-Back,€8.00m  
Abdallah Sima,Right Winger,€7.50m  
Odysseas Vlachodimos,Goalkeeper,€7.00m  
Matz Sels,Goalkeeper,€7.00m  
Auston Trusty,Centre-Back,€7.00m  
Chris Wood,Centre-Forward,€7.00m  
Jeffrey Schlupp,Left Midfield,€7.00m  
Arijanet Muric,Goalkeeper,€7.00m  
Dara O'Shea,Centre-Back,€7.00m  
Luca Koleosho,Left Winger,€7.00m  
Maxime Estève,Centre-Back,€7.00m  
Matt Turner,Goalkeeper,€7.00m  
Jamaal Lascelles,Centre-Back,€7.00m  
Hjalmar Ekdal,Centre-Back,€7.00m  
Connor Roberts,Right-Back,€7.00m  
Michael Keane,Centre-Back,€6.00m  
Boubacar Traoré,Defensive Midfield,€6.00m  
Hugo Bueno,Left-Back,€6.00m  
Tahith Chong,Right Winger,€6.00m  
Chris Mepham,Centre-Back,€6.00m  
Jaidon Anthony,Left Winger,€6.00m  
Mason Holgate,Centre-Back,€5.00m  
Willy Kambwala,Centre-Back,€5.00m  
Alfie Gilchrist,Centre-Back,€5.00m  
Nathan Redmond,Right Winger,€5.00m  
Benson Manuel,Right Winger,€5.00m  
Harry Toffolo,Left-Back,€5.00m  
Vitinho,Right-Back,€5.00m  
Danny Welbeck,Centre-Forward,€5.00m  
Tom Davies,Central Midfield,€5.00m  
Dele Alli,Attacking Midfield,€5.00m  
Divock Origi,Centre-Forward,€5.00m  
Willy Kambwala,Centre-Back,€5.00m  
Alfie Gilchrist,Centre-Back,€5.00m  
Nathan Redmond,Right Winger,€5.00m  
Benson Manuel,Right Winger,€5.00m  
Luke Cundle,Central Midfield,€5.00m  
Lewis O'Brien,Central Midfield,€5.00m  
Oli McBurnie,Centre-Forward,€4.50m  
Ryan Giles,Left-Back,€4.50m  
Jeremy Sarmiento,Left Winger,€4.50m  
Yasin Ayari,Central Midfield,€4.50m  
Ki-Jana Hoever,Right-Back,€4.50m  
Emmanuel Dennis,Left Winger,€4.20m  
Tim Iroegbunam,Central Midfield,€4.00m  
John Egan,Centre-Back,€4.00m  
Malang Sarr,Centre-Back,€4.00m  
Hannes Delcroix,Centre-Back,€4.00m  
Jacob Brown,Centre-Forward,€4.00m  
Jordan Ayew,Centre-Forward,€4.00m  
Han-Noah Massengo,Defensive Midfield,€4.00m  
Michail Antonio,Centre-Forward,€4.00m  
Calum Chambers,Centre-Back,€4.00m  
Josh Wilson-Esbrand,Left-Back,€4.00m  
Calvin Ramsay,Right-Back,€4.00m  
Jayden Bogle,Right-Back,€3.80m  
Luke McNally,Centre-Back,€3.80m  
Ivo Grbic,Goalkeeper,€3.50m  
Jason Steele,Goalkeeper,€3.50m  
Mark Travers,Goalkeeper,€3.50m  
Mohamed Elneny,Defensive Midfield,€3.50m  
Yunus Emre Konak,Defensive Midfield,€3.50m  
Jay Stansfield,Centre-Forward,€3.50m  
Nathaniel Phillips,Centre-Back,€3.50m  
Jamal Lewis,Left-Back,€3.50m  
Tom Holmes,Centre-Back,€3.50m  
Mads Andersen,Centre-Back,€3.00m  
Willian,Left Winger,€3.00m  
Jairo Riedewald,Defensive Midfield,€3.00m  
Andrei Radu,Goalkeeper,€3.00m  
Yasser Larouci,Left-Back,€3.00m  
Matt Doherty,Right-Back,€3.00m  
Thomas Kaminski,Goalkeeper,€3.00m  
Fodé Ballo-Touré,Left-Back,€3.00m  
Gabriel Osho,Centre-Back,€3.00m  
Rhian Brewster,Centre-Forward,€3.00m  
Idrissa Gueye,Central Midfield,€3.00m  
William Osula,Centre-Forward,€3.00m  
Diego Moreira,Left Winger,€3.00m  
Thomas Strakosha,Goalkeeper,€3.00m  
Charlie Taylor,Left-Back,€3.00m  
Marek Rodák,Goalkeeper,€3.00m  
Rodrigo Ribeiro,Centre-Forward,€3.00m  
Carl Rushworth,Goalkeeper,€3.00m  
Scott Twine,Attacking Midfield,€3.00m  
Ryan Fraser,Left Winger,€3.00m  
Andrew Moran,Attacking Midfield,€3.00m  
Neto,Goalkeeper,€2.50m  
Tom Lockyer,Centre-Back,€2.50m  
Amari'i Bell,Left-Back,€2.50m  
Lewis Dobbin,Left Winger,€2.50m  
Shandon Baptiste,Central Midfield,€2.50m  
George Baldock,Right-Back,€2.50m  
Rhys Norrington-Davies,Left-Back,€2.50m  
Andre Brooks,Central Midfield,€2.50m  
Willy Boly,Centre-Back,€2.50m  
Hákon Rafn Valdimarsson,Goalkeeper,€2.50m  
Max Lowe,Left-Back,€2.50m  
Anis Slimane,Central Midfield,€2.50m  
Emil Krafth,Right-Back,€2.50m  
Joe Rothwell,Central Midfield,€2.50m  
Brandon Williams,Left-Back,€2.50m  
Kaine Kesler-Hayden,Right-Back,€2.20m  
Michael Obafemi,Centre-Forward,€2.20m  
Ashley Phillips,Centre-Back,€2.20m  
Daiki Hashioka,Right-Back,€2.00m  
Karl Hein,Goalkeeper,€2.00m  
Kortney Hause,Centre-Back,€2.00m  
Daniel Bentley,Goalkeeper,€2.00m  
Saman Ghoddos,Attacking Midfield,€2.00m  
Tom Cairney,Central Midfield,€2.00m  
Jesurun Rak-Sakyi,Right Winger,€2.00m  
Cédric Soares,Right-Back,€2.00m  
Karl Hein,Goalkeeper,€2.00m  
James Hill,Centre-Back,€2.00m  
Daiki Hashioka,Right-Back,€2.00m  
Callum Marshall,Centre-Forward,€2.00m  
Lino Sousa,Left-Back,€2.00m  
Kieffer Moore,Centre-Forward,€2.00m  
Allan Campbell,Central Midfield,€2.00m  
Rhys Williams,Centre-Back,€1.80m  
Andros Townsend,Right Winger,€1.80m  
Reece Burke,Centre-Back,€1.80m  
Japhet Tanganga,Centre-Back,€1.80m  
Isaac Hayden,Defensive Midfield,€1.80m  
Arthur Okonkwo,Goalkeeper,€1.80m  
Emiliano Marcondes,Attacking Midfield,€1.50m  
Joe Gauci,Goalkeeper,€1.50m  
Felipe,Centre-Back,€1.50m  
Pelly Ruddock Mpanzu,Defensive Midfield,€1.50m  
Robin Olsen,Goalkeeper,€1.50m  
Nathaniel Clyne,Right-Back,€1.50m  
Joe Hodge,Defensive Midfield,€1.50m  
Josh Bowler,Right Winger,€1.50m  
Fraser Forster,Goalkeeper,€1.20m  
Harrison Ashby,Right-Back,€1.20m  
Martin Dúbravka,Goalkeeper,€1.00m  
Bobby Clark,Central Midfield,€1.00m  
Adam Smith,Right-Back,€1.00m  
Nathan Fraser,Centre-Forward,€1.00m  
Ryan Fredericks,Right-Back,€1.00m  
Nathan Ferguson,Centre-Back,€1.00m  
Jack Robinson,Centre-Back,€1.00m  
Joe Whitworth,Goalkeeper,€1.00m  
Thiago Silva,Centre-Back,€1.00m  
Marcus Bettinelli,Goalkeeper,€1.00m  
Cheikhou Kouyaté,Defensive Midfield,€1.00m  
Zanka,Centre-Back,€1.00m  
Divin Mubama,Centre-Forward,€1.00m  
Jóhann Berg Gudmundsson,Right Winger,€1.00m  
Joel Ward,Right-Back,€1.00m  
Oliver Norwood,Central Midfield,€1.00m  
Ben Osborn,Central Midfield,€1.00m  
Adam Lallana,Attacking Midfield,€1.00m  
Steven Benda,Goalkeeper,€1.00m  
Daniel Jebbison,Centre-Forward,€1.00m  
Ben Mee,Centre-Back,€1.00m  
Marcus Bettinelli,Goalkeeper,€1.00m  
Daniel Jebbison,Centre-Forward,€1.00m  
Ben Mee,Centre-Back,€1.00m  
Jay Rodríguez,Centre-Forward,€1.00m  
Matt Ritchie,Right Midfield,€1.00m  
Leon Chiwome,Centre-Forward,€1.00m  
Cauley Woodrow,Centre-Forward,€1.00m  
Steven Benda,Goalkeeper,€1.00m  
Wes Foderingham,Goalkeeper,€900k  
Paul Dummett,Centre-Back,€900k  
Aaron Cresswell,Left-Back,€900k  
Dan Potts,Left-Back,€900k  
Chem Campbell,Attacking Midfield,€900k  
Tim Ream,Centre-Back,€800k  
João Virgínia,Goalkeeper,€800k  
Jack Cork,Defensive Midfield,€800k  
Matthew Cox,Goalkeeper,€800k  
Lukasz Fabianski,Goalkeeper,€700k  
Angelo Ogbonna,Centre-Back,€700k  
James Tomkins,Centre-Back,€700k  
Adrián,Goalkeeper,€600k  
Tom McGill,Goalkeeper,€600k  
Brandon Austin,Goalkeeper,€600k  
Viljami Sinisalo,Goalkeeper,€600k  
Alfie Whiteman,Goalkeeper,€500k  
Seamus Coleman,Right-Back,€500k  
Remi Matthews,Goalkeeper,€500k  
Noha Lemina,Attacking Midfield,€500k  
Adam Davies,Goalkeeper,€500k  
Fred Onyedinma,Attacking Midfield,€500k  
Alfie Whiteman,Goalkeeper,€500k  
Tim Krul,Goalkeeper,€500k  
Jeff Hendrick,Central Midfield,€500k  
Oliver Arblaster,Central Midfield,€450k  
Marc Leonard,Central Midfield,€450k  
Fin Stevens,Right-Back,€450k  
Jack Walton,Goalkeeper,€400k  
Luke Berry,Central Midfield,€400k  
Harry Arter,Central Midfield,€400k  
Ed Turns,Centre-Back,€400k  
Will Dennis,Goalkeeper,€350k  
Joe Taylor,Centre-Forward,€350k  
Paris Maghoma,Central Midfield,€350k  
Dara Costelloe,Left Winger,€325k  
Mark Gillespie,Goalkeeper,€300k  
Darren Randolph,Goalkeeper,€300k  
Ellery Balcombe,Goalkeeper,€300k  
Joseph Anang,Goalkeeper,€300k  
Lawrence Vigouroux,Goalkeeper,€300k  
Chris Basham,Centre-Back,€300k  
Femi Seriki,Right-Back,€300k  
John McAtee,Second Striker,€300k  
Jensen Weir,Central Midfield,€300k  
Ryan Trevitt,Central Midfield,€275k  
Admiral Muskwe,Centre-Forward,€275k  
Wayne Hennessey,Goalkeeper,€250k  
Jordan Amissah,Goalkeeper,€250k  
Tom Heaton,Goalkeeper,€250k  
Louie Watson,Central Midfield,€250k  
Kell Watts,Centre-Back,€250k  
James Shea,Goalkeeper,€200k  
Elliot Thorpe,Central Midfield,€200k  
Scott Carson,Goalkeeper,€200k  
Tom King,Goalkeeper,€200k  
Dion Pereira,Left Winger,€175k  
Andy Lonergan,Goalkeeper,€100k  
