ID,Post description
5219,"Seperti yang kita ketahui, cacar monyet merupakan sebuah penyakit zoonosis langka yang disebabkan oleh infeksi virus monkeypox.

Mewabahnya penyakit ini sangat mengkhawatirkan karena dapat mengakibatkan gejala dan tanda tanda yang signifikan pada tubuh, seperti sakit kepala hingga cacar yang berisi nanah pada seluruh tubuh.

Oleh karena itu, yuk tetap waspada dan jaga tubuhmu agar terhindar dari penyakit cacar monyet.

Pada slide di atas, Prostasia telah membagikan beberapa cara yang bisa dilakukan untuk pencegahan terhadap monkeypox atau cacar monyet.

Check it out↑ 

#Monkeypox #CacarMonyet #PencegahanCacarMonyet #MonkeyPoxVirus"
4428,"Health Promotion #monkeypox 

Saudara, kerabat, atau keluarga saudara mengalami keluhan / gejala di atas? Segera hubungi fasilitas kesehatan terdekat. 

Jangan lupa perilaku hidup bersih dan sehat, serta jaga lingkungan sekitarmu! 

#healthpromotion
#rsharum
#promkes"
7557,"‼️ KELOMPOK INI HARUS WASPADA ‼️ 

Semua orang memang berisiko terpapar virus cacar monyet. Tapi ternyata ada beberapa kelompok orang yang rentan tertular virus ini lho. Yuk cek siapa aja Sobat Sehat!

Jangan lupa untuk selalu menjaga daya tahan tubuh  yaa Sobat Sehat agar tetap sehat dan terlindungi dari paparan virus penyebab penyakit. Stay safe & healthy!

Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. KOMPLIT 24 jam💛 💚

#cacarmonyet #monkeypox #mpox #infokesehatan #tipskesehatan #ApotekK24 #K24ApoteknyaIndonesia #SobatSehat #K244September24 #K24Central4September24"
3374,"Reposted from @dinkesdki Halo Sobat Sehat! Jika Anda Terinfeksi Monkeypox, Apa Yang Harus Anda Lakukan Untuk Melindungi Orang Lain Agar Tidak Terinfeksi?

Yuk baca selengkapnya pada infografis diatas👆🏻😉

#Monkeypox #PenularanMonkeypox #cacarmonyet #IsolasidiRumah #IsolasiMonkeypox #DinasKesehatan #DKIJakarta #U20Indonesia #RecoverTogetherRecoverStronger"
1023,"Dinas Kesehatan Kabupaten Cirebon meyakinkan, kasus cacar monyet di wilayahnya belum ditemukan. Kendati demikian, kata Sartono, pihaknya mengimbau masyarakat untuk tetap mewaspadai terhadap penyakit cacar monyet (monkeypox). 
.
Ia menyebutkan, gejala yang muncul ketika terinfeksi monkeypox antara lain demam tinggi mendadak, serta pembesaran kelenjar getah bening dan ruam kulit dalam waktu kurang dari tiga minggu.
.
Berita selengkapnya: www.dialogindonesia.com
.
#monkeypox #virus #cacarmonyet #cirebon #kesehatan"
3075,"Hallo Sahabat Livasya 😍
Yuk segera lakukan langkah-langkah ini apabila terpapar virus monekypox. 
Tetap jaga kesehatan dan segera periksakan diri ke dokter agar segera mendapat penanganan khusus, apabila terdapat tanda dan gejala seperti yang sudah dijelaskan pada postingan sebelumnya ! 

#MelayaniSepenuhHati
#KepuasanAndaAdalahPrioritasKami

Info lebih lanjut
Fb : Livasya
Instagram : @rsialivasya
YouTube : Rsia Livasya
Email : rsialivasya@gmail.com
Alamat : jln Raya timur III Dawuan kec. Dawuan kab. Majalengka,Jawa Barat 45453
☎ (0233) 662273
📱0812-2203-4905 (tlpn dan WhatsApp)

#rsialivasya #infolivasya #edukasilivasya #virus #terhindar #monkeypox #health #antiseptic #bersih #polahidupsehat #majalengkaedukasi #rsia #rsu #bpjskesehatan #paripurna"
6039,"⚠️ Monkeypox sudah terdeteksi di Indonesia ⚠️

Apa sih itu Monkeypox? Apakah sama kayak cacar biasa? Yuk cek penjelasan dan gejalanya di slide berikut👉

Info Lebih Lanjut, DM dan WhatsApp ke nomor 0816 4545 2939
TikTok: rsubella.bekasi
YouTube: RSU Bella Bekasi

#rsbella #rsubella #rsubellabekasi #layananbella #layananrsbella #tipskesehatan #penyakit #rumahsakit #dokter #kesehatan #pengobatan #edukasikesehatan #cacarmonyet #monkeypox #cacarmonyetgejala #cacarmonyetindonesia #mpox #obatcacar #cacar #penyakitcacarmonyet #sakitcacar"
6917,"Hallo Sobat BEM !! ✨ 

🚨 Waspada Monkeypox! Jaga Kesehatan, periksa dan laporkan gejala dengan segera.

🩺 Tenaga Kesehatan, Kami Butuh Perhatian Anda! Monkeypox semakin mengkhawatirkan. Kenali gejalanya: ruam, demam, dan nyeri. Tenaga kerja, sebagai garda terdepan, memiliki peran krusial dalam diagnosis dan pencegahan Monkeypox. Pastikan protokol kebersihan dan pelaporan yang tepat! 🚑

🌟 Pahlawan Kesehatan, Teruskan Usahamu! Dalam menghadapi monkeypox, dukungan dan dedikasi Anda sangat berarti. Pastikan untuk selalu mengikuti protokol dan menjaga kesehatan diri sendiri. Bersama, kita dapat mengendalikan penyebaran! 🙌

 #tenagakesehatan #cegahmonkeypox #edukasikesehatan #monkeypox #dukungantenagakesehatan #monkeypoxawareness"
1950,"Cacar Monyet atau yang dikenal dengan ""Monkeypox"" merupakan penyakit yang berasal dari gigitan atau cakaran binatang. Diantaranya adalah monyet, tikus, dan tupai.

Virus ini dapat menular antar manusia melalui udara, bersentuhan kulit, serta benda yang terkontaminasi.

Meskipun hingga saat ini tingkat kematiannya kurang dari 10%, namun penyakit ini dapat meninggalkan bekas luka yang tidak akan hilang.

#monkeypox #cacarmonyet #kesehatan #monyet #cacar #penyakitcacar #berbahaya #menular #manusia #penyakitmenular #supahabuindonesia"
3832,"Cek fakta dibalik Vaksin Monkeypox yang dibuat!

#docquity #docquityindonesia #doctor #doctors #dokter #dokterindonesia #kedokteran #kesehatan #medical #health #monkeypox #medis #dokterspesialis"
165,"Hai #SobatKominfo 

Kementerian Kesehatan (Kemenkes) melalui Direktorat Jenderal Pencegahan dan Pengendalian Penyakit meminta masyarakat mewaspadai penyakit cacar monyet atau monkeypox.

Monkeypox adalah penyakit akibat virus yang ditularkan dari hewan ke manusia atau disebut virus zoonosis.

Bagaimana pendapat kalian terkait penyakit cacar monyet ini?

Sumber @indonesiabaik.id @kemenkes_ri

#IndonesiaBaik #YangMudaSukaData #CacarMonyet #Monkeypox #Penyakit #bekasi #pemkot_bekasi #humaskotabekasi"
3258,"Halo Sobat Sehat! Monkeypox dapat menular ke manusia melalui kontak fisik dengan hewan terinfeksi. Biasanya adalah hewan pengerat dan primata.

Lalu, bagaimana cara pencegahannya? Yuk simak infografis diatas👆🏻😉

#PenularanMonkeypox #Monkeypox #cacarmonyet #CegahMonkeypox #DinasKesehatan #DKIJakarta #U20Indonesia"
365,"Jika mengalami gejala atau ruam kulit seperti cacar monyet, apa yang harus dilakukan?

Simak tips nya di sini

#cacarmonyet #monkeypox #cacar
#edukasikesehatan #penyakitdalam #infokesehatan #isolasicacarmonyet
#hidupsehat #tipshidupsehat
#mitosfaktakesehatan"
4400,"Hai sobat sehat 👋

Bagaimana cara penyebaran virus Monkeypox dari manusia ke manusia?

Yuk simak informasi lengkapnya pada postingan diatas 😉

#Monkeypox #kasusmonkeypox #infokesehatan #DinasKesehatan #DKIJakarta #SuksesJakartaUntukIndonesia"
6504,"Waspada! Yuk ikut bantu cegah monkeypox dengan mengenal gejala & pencegahannya.

#asuransi #asuransijiwa #asuransisakitkritis #asuransisyariah #asuransikesehatan #monkeypox #monkeypoxvirus #monkeypoxawareness #bpjs #bpjskesehatan #asuransiindonesia #tanyaasuransi #konsultasiasuransi"
6051,"#Repost from @dinkesdki
Hai sobat sehat 👋

Tahukah kamu, Mpox atau yang biasa dikenal dengan cacar monyet bisa menyerang siapa saja.

Oleh karena itu, kamu perlu mengetahui gejala Mpox agar penanganan bisa dilakukan sesegera mungkin.

Apa saja gejala Mpox?

Yuk simak pada infografis diatas 😉

#Monkeypox #cegahmonkeypox #GejalaMonkeypox #Infokesehatan #DinasKesehatan #DKIJakarta #SuksesJakartaUntukIndonesia"
569,"Hah? Kasus Monkeypox sudah ditemukan di Indonesia??

Beberapa waktu lalu Kemenkes menyatakan bahwa terdapat satu warga di Jawa Tengah yang masuk dalam kategori Monkeypox atau cacar monyet.

Tetap waspada dan terapkan pola hidup bersih dan sehat ya Sobat untuk mencegah penularan cacar monyet. Jangan lupa share dan save postingan ini untuk menyebarkan kewaspadaan tentang Monkeypox!

#monkeypox #cacarmonyet #jateng #cacar #cacarair #suspekmonkeypox #infosehat #infokesehatan #tipssehat #tipskesehatan #ApotekK24 #K24 #apotek #K24ApoteknyaIndonesia #SobatSehat #K245Agustus22 #K24East5Agustus22"
7534,"‼️ KELOMPOK INI HARUS WASPADA ‼️ 

Semua orang memang berisiko terpapar virus cacar monyet. Tapi ternyata ada beberapa kelompok orang yang rentan tertular virus ini lho. Yuk cek siapa aja Sobat Sehat!

Jangan lupa untuk selalu menjaga daya tahan tubuh  yaa Sobat Sehat agar tetap sehat dan terlindungi dari paparan virus penyebab penyakit. Stay safe & healthy!

Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. KOMPLIT 24 jam💛 💚

#cacarmonyet #monkeypox #mpox #infokesehatan #tipskesehatan #ApotekK24 #K24ApoteknyaIndonesia #SobatSehat #K244September24 #K24Central4September24"
3507,"Etss.. gimana caranya biar gak kena cacar air dan kebal cacar air?

Yap! Vaksin! Vaksin varicella adalah vaksin untuk mencegah cacar air atau chickenpox. Penyakit ini memang lebih banyak dialami oleh anak-anak, namun orang dewasa pun bisa mengalaminya. Oleh karena itu, vaksin varicella penting diberikan baik kepada anak-anak maupun dewasa.
Cacar air merupakan penyakit menular yang disebabkan oleh virus varicella-zoster. Ketika terserang penyakit ini, seseorang dapat mengalami gejala berupa demam, nyeri otot, sakit kepala, dan muncul bintik kemerahan di wajah dan tubuh kemudian diikuti bentol-bentol berisi cairan bening di seluruh tubuh yang terasa gatal.

Pentingkah di vaksin Varicella? 
Pemberian vaksin varicella dapat mencegah cacar air dengan tingkat efektivitas yang cukup tinggi, yaitu hingga 85–90%. Kalaupun terkena cacar air, orang yang sudah mendapatkan vaksin varicella akan mengalami gejala yang lebih ringan dan lebih cepat sembuh.
Vaksin varicella mengandung virus varicella-zoster yang telah dilemahkan. Ketika dimasukkan ke dalam tubuh, vaksin ini akan merangsang sistem kekebalan tubuh untuk memproduksi antibodi guna melawan virus tersebut.

For your information, Our Instagram account @vaksinasi has been hacked by an irresponsible person. So we re-start our journey with this new account
.
.
#vaksin #vaksinasi #imunisasi #varicella #monkeypox #tetapsehat #pencegahan #makanansehat #minumansehat #covid-19 #pandemi #ichoosetoprevent #500kdosisuntuknegeri #PakaiMasker #IndonesiaBangkit"
463,"Cacar Monyet dikategorikan sebagai penyakit yang mematikan. tak hanya menyerang kaum gay, penyakit ini bisa menyerang siapapun.
Cacar monyet adalah penyakit yang disebabkan oleh virus yang menular dan disebabkan oleh virus langka atau dikenal dengan Monkeypox. penyakit ini menimbulkan gejala seperti flu, demam yang disertai ruam.
penyakit ini menular melalui kontak erat, sentuhan kulit atau bersentuhan dengan luka yang terbuka hingga hubungan seksual.
maraknya penyakit ini membuat banyak para peneliti melakukan penelitian dan seringkali juga mengatakan hal ini tersebar melalui komunitas homoseksual. meskipun begitu sebagian para ahli dokter kulit juga menyatakan bahwa cacar monyet bisa menyerang siapapun.

berikut 5 golongan yang rentan terpapar Monkeypox :

1. Orang yang memiliki kekebalan tubuh yang sangat rendah
2. Balita
3. Ibu Hamil dan Menyusui
4. Lansia
5. Gemar Mengkonsumsi daging hewan liar

itu dia 5 golongan yang sangat mudah terserang Monkeypox karena sistem kekebalan tubuh yang sudah menurun atau belum terbentuk sempurna untuk melawan berbagai virus yang berdatangan.
sampai sejauh ini sudah 23 ribu orang terpapar virus Monkeypox,  para ahli membenarkan bahwa penyakit ini seringkali menyerang kaum gay. namun tidak bisa dipungkiri, penyakit ini bisa menyerang kaum lainnya.

Baca berita selengkapnya hanya di insideindonesia.net 

#insidemedia #insideindonesia #news #monkeypox #cacarmonyet"
1523,"Berdasarkan situs resmi WHO, cacar monyet (Monkeypox) tercatat sudah menyerang manusia sejak tahun 1970-an. Cacar monyet merupakan penyakit ""zoonosis"" yang berarti ditularkan dari hewan ke manusia dan dapat juga menyebar antar manusia.

Pada saat ini, lebih dari 70 negara telah melaporkan kasus cacar monyet. WHO juga melaporkan sudah lebih dari 40.000 kasus cacar monyet yang dikonfirmasi di seluruh dunia.

Bagaimana pendapat Sobat Patuh tentang Virus Cacar Monyet? Tulis di kolom komentar ya! 

#monkeypox #cacar #satgasperubahanperilaku #indonesiasehat"
900,"Salah satu tips agar terhindar dari cacar monyet adalah dengan mengkonsumsi vitamin C loh!

Vitamin C dipahami mampu melawan patogen dan meningkatkan imun kita loh! yuk langsung suntik freshdrip dan dapatkan kebutuhan vitamin C mu!

#freshdrip #cacarmonyet #monkeypox #infusvitamin"
2543,"Kemenkes : Targetkan Vaksin Cacar Monyet Akhir Tahun2022

Budi Gunadi Sadikin Menteri Kesehatan (Menkes) menargetkan distribusi vaksin cacar monyet atau monkeypox di Indonesia dilakukan pada akhir tahun 2022. Pengadaan sekitar 10 ribu vaksin cacar monyet diprioritaskan bagi penyintas, kontak erat pasien, hingga warga yang memiliki risiko tinggi terpapar cacar monyet.

Budi menyebutkan vaksin cacar monyet memang terbatas lantaran merujuk tingkat penularan cacar monyet. Menurutnya, penyakit ini bukan penyakit dengan tingkat penularan tinggi seperti Covid-19.

Selain itu, Badan Kesehatan Dunia (WHO) juga belum mengeluarkan rekomendasi vaksinasi massal cacar monyet. Namun, sudah ada dua atau tiga negara yang melakukan vaksinasi cacar monyet kepada warganya.

Menurut Kemenkes, gejala yang dialami pasien tersebut tergolong ringan. Hanya demam hingga munculnya ruam di beberapa bagian tubuh, seperti wajah, tangan, kaki, dan area genital. Dinas Kesehatan DKI Jakarta telah mengidentifikasi tiga orang kontak erat dengan pasien tersebut.

SC : CNN

#eksplisit #eksplisitmedia #eksplisikreatif #eksplisitofficial #eksplisitkreatifmedia #news #eksplisitnews #kemenkes #monkeypox #cacarmonyet #infoterkini"
2197,"Penyakit Cacar Monyet kini mulai menyerang negara-negara yang selama ini bukan endemik cacar monyet.

Dunia tengah dilanda wabah cacar monyet (monkeypox). Badan Kesehatan Dunia (WHO) menyatakan cacar monyet sebagai darurat kesehatan masyarakat global.

Dikutip dari Kementerian Kesehatan, penyakit ini kini banyak ditemukan di negara-negara yang selama ini justru bukan endemik cacar monyet, seperti Amerika Serikat dan Eropa.

Simak ulasan lengkapnya di www.rs-alirsyadsurabaya.co.id

#penyakitcacarmonyet #cacarmonyet #monkeypox #kesehatan #medis #wabah #who #rsalirsyad #rsalirsyadsurabaya"
1303,"Kementerian Kesehatan RI (Kemenkes) mengonfirmasi kasus pertama cacar monyet di Indonesia. Pasien tersebut berusia 27 tahun dan saat ini tengah menjalani perawatan.

""Hari ini pasiennya ada satu yang terkonfirmasi dari DKI Jakarta, laki-kali. Dapat laporan pemeriksaan PCR tadi malam,"" kata juru bicara Kemenkes dr Mohammad Syahril dalam konferensi pers, Sabtu (20/8/2022).

Hati - hati dan jaga kesehatan gaes....

#monkeypox 
#cacarmonyet"
171,"Hi Healthies,

Tepat pada tanggal 23 Juli 2022, Organisasi Kesehatan Dunia (WHO) mengumumkan bahwa cacar monyet/monkeypox sebagai darurat kesehatan global.

Yuk ketahui informasi lengkap mengenai monkeypox pada postingan berikut ini.
#monkeypox #promkes #who
Reposted from @dit.promkes"
3710,"Wow ternyata 5 Penyakit ini pernah tren di tahun 2022. Yuk cek info lebih lanjut!

Jaga kesehatan selalu ya Sobat Sehat!
Jangan kasih kendor ke prokes dan jaga daya tahan tubuh agar tetap sehat.

Berbagai produk kesehatan yang Anda butuhkan tersedia di Apotek K-24 & K24Klik. Lengkap 24 jam!

#InfoApoteker #InfoApotekerK24 #apotekerk24sobatkeluarga #sehat #hidupsehat #fit #sehat #penyakit #covid-19 #ginjalakut #Hepatitis #monkeypox #cacarmonyet #polio #OmicronXBB #K24ApoteknyaIndonesia #K24Update #K243Januari23 #K24West3Januari23 #SobatSehat #apotekerk24 #InfoSehat #tipssehat #tipskesehatan"
2488,"*WASPADA KASUS CACAR MONYET DITEMUKAN DI INDONESIA, PASTIKAN DAYA TAHAN TUBUH ANDA TETAP TERJAGA*

Dilansir dari portal berita jawapos.com pada 24 Agustus 2022, Kementerian Kesehatan Indonesia mengonfirmasi kasus cacar monyet pertama di Indonesia ditemukan pada 20 Agustus 2022 lalu. Kemenkes yang dikutip dari health.detik.com menegaskan penyakit cacar monyet menular lewat kontak dekat seperti bersalaman, berpelukan, dan kontak dengan benda-benda milik pasien yang terinfeksi. 

Bagi yang terinfeksi, cacar monyet memiliki gejala di antaranya demam, sakit kepala parah, lemas, ruam, nyeri otot dan sakit punggung, kelelahan, dan gangguan pernapasan. Cegah penyebaran infeksi cacar monyet menurut cnbcindonesia.com antara lain dengan menjaga kebersihan tangan, hindari kontak langsung dengan tikus atau primata, masak bahan makanan dengan baik, tingkat daya tahan tubuh, dll. 

Mengonsumsi air hidrogen yang kaya antioksidan dapat membantu meningkatkan daya tahan tubuh dan membantu mencegah penyebaran virus. Penelitian International Journal of Biological Sciences (2019) menyatakan air hidrogen adalah antioksidan alami bermanfaat membantu pemulihan penyakit, membantu mendetoksifikasi dan membantu hidrasi sel, serta membantu memperkuat sistem kekebalan tubuh. 

Pada penelitian lainnya, Jurnal SOJ Microbiology & Infectious (2017) mengungkapkan molekul hidrogen dapat secara signifikan membantu menurunkan ekspresi gen terkait peradangan dan membantu melindungi dari infeksi virus. 

Rasakan manfaat air hidrogen dari Hydro-Gen Fontaine PEM & Inhaler yang menggunakan teknologi Proton Exchange Membrane menghasilkan air hidrogen berkadar 1500 ppb dan Esteo Hydro-Gen Mist yang memproses air mineral menjadi air hidrogen berkadar 1000 ppb untuk membantu meningkatkan daya tahan tubuh dan membantu mencegah penyebaran virus.

#lwg #hydrogenfontainepeminhaler #esteohydrogenmist #testimonihydrogenfontainepeminhaler #testimoniesteohydrogenmist #cacarmonyet #monkeypox"
2677,"Bersedekah di waktu Subuh memiliki banyak keutamaan, salah satunya adalah pada waktu ini akan ada dua malaikat yang mendoakan amalan kita. Dari hadis tersebut pun diketahui, barangsiapa yang memutuskan untuk memberikan hartanya, maka akan didoakan oleh malaikat agar rezekinya semakin lancar dan berkah 😊🤲

#peloporkepedulianempubarada #sedekahsubuh #subuh #sedekahinfaq #manfaatsedekahsubuh #yatim #dhuafa #pantiasuhan #cacarmonyet #monkeypox #ferdisambo"
